Sl. No.,"Flight
No.","Operator
Code","Aircraft
Type",Frequency,"Arrival
from","Arrival
Time","Departure
to","Departure
Time","Effective
from","Effective
to"
Agatti,,,,,,,,,,
1,9I 505,AAS,ATR 72,2,COK,9:15,,,26-Nov-19,24-Mar-20
2,9I 506,AAS,ATR 72,2,,,BLR,9:40,26-Nov-19,24-Mar-20
3,9I 505,AAS,ATR 72,134567,COK,10:05,,,27-Oct-19,18-Nov-19
4,9I 505,AAS,ATR 72,134567,COK,10:05,,,20-Nov-19,28-Mar-20
5,9I 506,AAS,ATR 72,134567,,,BLR,10:30,20-Nov-19,28-Mar-20
6,9I 506,AAS,ATR 72,134567,,,COK,10:30,27-Oct-19,18-Nov-19
7,9I 505,AAS,ATR 72,2,COK,11:25,,,29-Oct-19,19-Nov-19
8,9I 506,AAS,ATR 72,2,,,COK,12:00,29-Oct-19,19-Nov-19
Agra,,,,,,,,,,
1,9I 687,AAS,ATR 72,1246,JAI,8:30,,,29-Oct-19,28-Mar-20
2,9I 688,AAS,ATR 72,1246,,,JAI,8:55,29-Oct-19,28-Mar-20
Ahmedabad,,,,,,,,,,
1,9I 873,AAS,ATR 72,123456,ISK,9:35,,,28-Oct-19,28-Mar-20
2,9I 873,AAS,ATR 72,123456,,,IXY,10:05,28-Oct-19,28-Mar-20
3,9I 874,AAS,ATR 72,123456,IXY,12:45,,,28-Oct-19,28-Mar-20
4,9I 874,AAS,ATR 72,123456,,,ISK,13:10,28-Oct-19,28-Mar-20
Allahabad,,,,,,,,,,
1,9I 603,AAS,ATR 72,Daily,DEL,14:50,,,27-Oct-19,30-Nov-19
2,9I 603,AAS,ATR 72,Daily,DEL,14:50,,,1-Dec-19,15-Feb-20
3,9I 603,AAS,ATR 72,Daily,DEL,14:50,,,16-Feb-20,28-Mar-20
4,9I 604,AAS,ATR 72,Daily,,,DEL,15:15,27-Oct-19,30-Nov-19
5,9I 604,AAS,ATR 72,Daily,,,DEL,15:15,1-Dec-19,15-Feb-20
6,9I 604,AAS,ATR 72,Daily,,,DEL,15:15,16-Feb-20,28-Mar-20
Amritsar,,,,,,,,,,
1,9I 615,AAS,ATR 72,Daily,DEL,20:45,,,27-Oct-19,28-Mar-20
2,9I 616,AAS,ATR 72,Daily,,,DEL,21:15,27-Oct-19,28-Mar-20
Bangalore,,,,,,,,,,
1,9I 505,AAS,ATR 72,2,,,COK,6:05,25-Nov-19,28-Mar-20
2,9I 505,AAS,ATR 72,14567,,,COK,6:55,27-Oct-19,28-Mar-20
3,9I 505,AAS,ATR 72,3,,,COK,6:55,27-Oct-19,28-Mar-20
4,9I 505,AAS,ATR 72,2,,,COK,8:15,27-Oct-19,18-Nov-19
5,9I 506,AAS,ATR 72,2,AGX,11:40,,,26-Nov-19,28-Mar-20
6,9I 506,AAS,ATR 72,134567,AGX,12:35,,,20-Nov-19,28-Mar-20
7,9I 897,AAS,ATR 72,134567,MYQ,13:05,,,27-Oct-19,28-Mar-20
8,9I 535,AAS,ATR 72,134567,KLH,13:25,,,27-Oct-19,28-Mar-20
9,9I 506,AAS,ATR 72,134567,COK,13:40,,,27-Oct-19,18-Nov-19
10,9I 536,AAS,ATR 72,134567,,,KLH,13:50,27-Oct-19,28-Mar-20
11,9I 898,AAS,ATR 72,134567,,,MYQ,14:00,27-Oct-19,28-Mar-20
12,9I 513,AAS,ATR 72,134567,,,IXG,14:15,20-Nov-19,28-Mar-20
13,9I 513,AAS,ATR 72,134567,,,IXG,14:15,27-Oct-19,18-Nov-19
14,9I 506,AAS,ATR 72,2,COK,15:10,,,27-Oct-19,19-Nov-19
15,9I 897,AAS,ATR 72,2,MYQ,15:25,,,27-Oct-19,28-Mar-20
16,9I 535,AAS,ATR 72,2,KLH,15:25,,,27-Oct-19,28-Mar-20
17,9I 513,AAS,ATR 72,2,,,IXG,15:40,26-Nov-19,28-Mar-20
18,9I 513,AAS,ATR 72,2,,,IXG,15:40,27-Oct-19,19-Nov-19
19,9I 898,AAS,ATR 72,2,,,MYQ,15:45,27-Oct-19,28-Mar-20
20,9I 536,AAS,ATR 72,2,,,KLH,15:55,27-Oct-19,28-Mar-20
21,9I 514,AAS,ATR 72,1,IXG,20:55,,,25-Nov-19,28-Mar-20
22,9I 514,AAS,ATR 72,34567,IXG,20:55,,,27-Oct-19,28-Mar-20
23,9I 514,AAS,ATR 72,1,IXG,20:55,,,27-Oct-19,18-Nov-19
24,9I 514,AAS,ATR 72,2,IXG,21:55,,,27-Oct-19,28-Mar-20
Bathinda,,,,,,,,,,
1,9I 621,AAS,ATR 72,246,DEL,10:45,,,29-Oct-19,28-Mar-20
2,9I 622,AAS,ATR 72,246,,,DEL,11:10,29-Oct-19,28-Mar-20
Belgaum,,,,,,,,,,
1,9I 513,AAS,ATR 72,134567,BLR,15:40,,,27-Oct-19,28-Mar-20
2,9I 513,AAS,ATR 72,134567,,,PNQ,16:05,27-Oct-19,28-Mar-20
3,9I 513,AAS,ATR 72,2,BLR,17:05,,,29-Oct-19,24-Mar-20
4,9I 513,AAS,ATR 72,2,,,PNQ,17:30,29-Oct-19,24-Mar-20
5,9I 514,AAS,ATR 72,134567,PNQ,19:05,,,27-Oct-19,28-Mar-20
6,9I 514,AAS,ATR 72,134567,,,BLR,19:30,27-Oct-19,28-Mar-20
7,9I 514,AAS,ATR 72,2,PNQ,20:30,,,29-Oct-19,24-Mar-20
8,9I 514,AAS,ATR 72,2,,,BLR,20:55,29-Oct-19,24-Mar-20
Bhavnagar,,,,,,,,,,
1,9I 661,AAS,ATR 72,Daily,BOM,8:00,,,27-Oct-19,28-Mar-20
2,9I 662,AAS,ATR 72,Daily,,,BOM,8:30,27-Oct-19,28-Mar-20
3,9I 651,AAS,ATR 72,Daily,BOM,19:30,,,27-Oct-19,28-Mar-20
4,9I 652,AAS,ATR 72,Daily,,,BOM,19:55,27-Oct-19,28-Mar-20
Bhopal,,,,,,,,,,
1,9I 683,AAS,ATR 72,Daily,JAI,7:35,,,27-Oct-19,28-Mar-20
2,9I 683,AAS,ATR 72,Daily,,,RPR,8:00,27-Oct-19,28-Mar-20
3,9I 684,AAS,ATR 72,Daily,RPR,18:25,,,27-Oct-19,28-Mar-20
4,9I 684,AAS,ATR 72,Daily,,,JAI,18:50,27-Oct-19,28-Mar-20
Bhubaneshwar,,,,,,,,,,
1,9I 727,AAS,ATR 72,Daily,IXR,8:55,,,27-Oct-19,27-Mar-20
2,9I 727,AAS,ATR 72,Daily,,,JRG,9:25,27-Oct-19,27-Mar-20
3,9I 719,AAS,ATR 72,Daily,JRG,12:00,,,27-Oct-19,28-Mar-20
4,9I 719,AAS,ATR 72,Daily,,,IXR,12:20,27-Oct-19,28-Mar-20
Bhuj,,,,,,,,,,
1,9I 625,AAS,ATR 72,Daily,BOM,8:30,,,27-Oct-19,28-Mar-20
2,9I 626,AAS,ATR 72,Daily,,,BOM,8:55,27-Oct-19,28-Mar-20
Bikaner,,,,,,,,,,
1,9I 833,AAS,ATR 72,Daily,DEL,13:35,,,27-Oct-19,28-Mar-20
2,9I 834,AAS,ATR 72,Daily,,,DEL,14:00,27-Oct-19,28-Mar-20
Chandigarh,,,,,,,,,,
1,9I 813,AAS,ATR 72,123456,DEL,7:05,,,28-Oct-19,28-Mar-20
2,9I 813,AAS,ATR 72,123456,,,DHM,7:30,28-Oct-19,28-Mar-20
3,9I 807,AAS,ATR 72,123456,KUU,9:15,,,28-Oct-19,30-Nov-19
4,9I 807,AAS,ATR 72,123456,KUU,9:15,,,2-Dec-19,15-Feb-20
5,9I 807,AAS,ATR 72,123456,KUU,9:15,,,17-Feb-20,28-Mar-20
6,9I 808,AAS,ATR 72,123456,,,KUU,9:40,28-Oct-19,30-Nov-19
7,9I 808,AAS,ATR 72,123456,,,KUU,9:40,2-Dec-19,15-Feb-20
8,9I 808,AAS,ATR 72,123456,,,KUU,9:40,17-Feb-20,28-Mar-20
9,9I 814,AAS,ATR 72,123456,DHM,10:25,,,28-Oct-19,28-Mar-20
10,9I 814,AAS,ATR 72,123456,,,DEL,11:00,28-Oct-19,28-Mar-20
11,9I 831,AAS,ATR 72,Daily,DEL,19:15,,,27-Oct-19,28-Mar-20
12,9I 832,AAS,ATR 72,Daily,,,DEL,19:40,27-Oct-19,28-Mar-20
Chennai,,,,,,,,,,
1,9I 565,AAS,ATR 72,Daily,,,CJB,5:55,27-Oct-19,25-Dec-19
2,9I 566,AAS,ATR 72,Daily,CJB,9:20,,,27-Oct-19,28-Mar-20
3,9I 559,AAS,ATR 72,Daily,,,IXM,10:00,27-Oct-19,25-Dec-19
4,9I 560,AAS,ATR 72,Daily,IXM,13:05,,,27-Oct-19,28-Mar-20
5,9I 555,AAS,ATR 72,Daily,,,TRZ,13:40,27-Oct-19,28-Mar-20
6,9I 556,AAS,ATR 72,Daily,TRZ,16:10,,,27-Oct-19,28-Mar-20
7,9I 551,AAS,ATR 72,Daily,,,IXM,16:55,27-Oct-19,28-Mar-20
8,9I 552,AAS,ATR 72,Daily,IXM,19:55,,,27-Oct-19,25-Dec-19
9,9I 553,AAS,ATR 72,Daily,,,CJB,20:35,27-Oct-19,28-Mar-20
10,9I 554,AAS,ATR 72,Daily,CJB,23:50,,,27-Oct-19,25-Dec-19
Coimbatore,,,,,,,,,,
1,9I 565,AAS,ATR 72,Daily,MAA,7:20,,,27-Oct-19,28-Mar-20
2,9I 566,AAS,ATR 72,Daily,,,MAA,7:45,27-Oct-19,28-Mar-20
3,9I 553,AAS,ATR 72,Daily,MAA,21:55,,,27-Oct-19,28-Mar-20
4,9I 554,AAS,ATR 72,Daily,,,MAA,22:25,27-Oct-19,28-Mar-20
Dehra Dun,,,,,,,,,,
1,9I 645,AAS,ATR 72,Daily,DEL,7:20,,,27-Oct-19,28-Mar-20
2,9I 646,AAS,ATR 72,Daily,,,DEL,7:45,27-Oct-19,28-Mar-20
3,9I 823,AAS,ATR 72,3567,PGH,13:40,,,27-Oct-19,30-Nov-19
4,9I 824,AAS,ATR 72,3567,,,PGH,14:00,27-Oct-19,30-Nov-19
5,9I 609,AAS,ATR 72,Daily,DEL,17:25,,,27-Oct-19,28-Mar-20
6,9I 610,AAS,ATR 72,Daily,,,DEL,17:50,27-Oct-19,28-Mar-20
Delhi,,,,,,,,,,
1,9I 843,AAS,ATR 72,Daily,,,JAI,5:55,27-Oct-19,28-Mar-20
2,9I 813,AAS,ATR 72,7,,,DHM,6:05,27-Oct-19,22-Mar-20
3,9I 813,AAS,ATR 72,123456,,,IXC,6:05,28-Oct-19,28-Mar-20
4,9I 645,AAS,ATR 72,Daily,,,DED,6:20,27-Oct-19,28-Mar-20
5,9I 613,AAS,ATR 72,Daily,,,IXJ,6:40,27-Oct-19,28-Mar-20
6,9I 805,AAS,ATR 72,Daily,,,KUU,6:45,27-Oct-19,30-Nov-19
7,9I 805,AAS,ATR 72,Daily,,,KUU,6:45,1-Dec-19,15-Feb-20
8,9I 805,AAS,ATR 72,Daily,,,KUU,6:45,16-Feb-20,28-Mar-20
9,9I 803,AAS,ATR 42,Daily,,,SLV,7:45,27-Oct-19,28-Mar-20
10,9I 646,AAS,ATR 72,Daily,DED,8:40,,,27-Oct-19,28-Mar-20
11,9I 621,AAS,ATR 72,246,,,BUP,9:25,29-Oct-19,28-Mar-20
12,9I 806,AAS,ATR 72,7,KUU,9:40,,,27-Oct-19,24-Nov-19
13,9I 806,AAS,ATR 72,7,KUU,9:40,,,1-Dec-19,9-Feb-20
14,9I 806,AAS,ATR 72,7,KUU,9:40,,,16-Feb-20,22-Mar-20
15,9I 814,AAS,ATR 72,7,DHM,10:15,,,27-Oct-19,22-Mar-20
16,9I 804,AAS,ATR 42,Daily,SLV,10:25,,,27-Oct-19,28-Mar-20
17,9I 614,AAS,ATR 72,Daily,IXJ,11:05,,,27-Oct-19,28-Mar-20
18,9I 844,AAS,ATR 72,Daily,JAI,11:15,,,27-Oct-19,27-Mar-20
19,9I 628,AAS,ATR 72,357,,,GWL,11:20,27-Oct-19,27-Mar-20
20,9I 815,AAS,ATR 42,3567,,,PGH,11:30,27-Oct-19,28-Mar-20
21,9I 835,AAS,ATR 42,124,,,IXP,11:30,28-Oct-19,26-Mar-20
22,9I 814,AAS,ATR 72,123456,IXC,12:00,,,28-Oct-19,28-Mar-20
23,9I 833,AAS,ATR 72,Daily,,,BKB,12:05,27-Oct-19,28-Mar-20
24,9I 806,AAS,ATR 72,123456,KUU,12:10,,,28-Oct-19,30-Nov-19
25,9I 806,AAS,ATR 72,123456,KUU,12:10,,,2-Dec-19,15-Feb-20
26,9I 806,AAS,ATR 72,123456,KUU,12:10,,,17-Feb-20,28-Mar-20
27,9I 622,AAS,ATR 72,246,BUP,12:20,,,29-Oct-19,28-Mar-20
28,9I 603,AAS,ATR 72,Daily,,,IXD,13:05,27-Oct-19,30-Nov-19
29,9I 603,AAS,ATR 72,Daily,,,IXD,13:05,1-Dec-19,15-Feb-20
30,9I 603,AAS,ATR 72,Daily,,,IXD,13:05,16-Feb-20,28-Mar-20
31,9I 809,AAS,ATR 72,Daily,,,GOP,13:05,27-Oct-19,28-Mar-20
32,9I 837,AAS,ATR 72,1246,,,LUH,13:25,28-Oct-19,28-Mar-20
33,9I 713,AAS,ATR 72,Daily,,,DHM,13:30,27-Oct-19,22-Mar-20
34,9I 836,AAS,ATR 42,124,IXP,15:10,,,28-Oct-19,26-Mar-20
35,9I 834,AAS,ATR 72,Daily,BKB,15:30,,,27-Oct-19,28-Mar-20
36,9I 816,AAS,ATR 42,3567,PGH,16:10,,,27-Oct-19,28-Mar-20
37,9I 609,AAS,ATR 72,Daily,,,DED,16:25,27-Oct-19,30-Nov-19
38,9I 609,AAS,ATR 72,Daily,,,DED,16:25,1-Dec-19,15-Feb-20
39,9I 609,AAS,ATR 72,Daily,,,DED,16:25,16-Feb-20,28-Mar-20
40,9I 838,AAS,ATR 72,1246,LUH,16:30,,,28-Oct-19,28-Mar-20
41,9I 604,AAS,ATR 72,Daily,IXD,17:00,,,27-Oct-19,30-Nov-19
42,9I 604,AAS,ATR 72,Daily,IXD,17:00,,,1-Dec-19,15-Feb-20
43,9I 604,AAS,ATR 72,Daily,IXD,17:00,,,16-Feb-20,28-Mar-20
44,9I 714,AAS,ATR 72,Daily,DHM,17:25,,,27-Oct-19,22-Mar-20
45,9I 617,AAS,ATR 72,Daily,,,JLR,17:35,27-Oct-19,28-Mar-20
46,9I 810,AAS,ATR 72,Daily,GOP,17:50,,,27-Oct-19,28-Mar-20
47,9I 627,AAS,ATR 72,357,GWL,18:20,,,27-Oct-19,27-Mar-20
48,9I 831,AAS,ATR 72,Daily,,,IXC,18:20,27-Oct-19,28-Mar-20
49,9I 643,AAS,ATR 72,Daily,,,JAI,18:45,27-Oct-19,28-Mar-20
50,9I 610,AAS,ATR 72,Daily,DED,18:50,,,27-Oct-19,28-Mar-20
51,9I 615,AAS,ATR 72,Daily,,,ATQ,19:15,27-Oct-19,28-Mar-20
52,9I 605,AAS,ATR 72,Daily,,,LKO,19:45,27-Oct-19,28-Mar-20
53,9I 832,AAS,ATR 72,Daily,IXC,20:50,,,27-Oct-19,28-Mar-20
54,9I 644,AAS,ATR 72,Daily,JAI,21:10,,,27-Oct-19,28-Mar-20
55,9I 618,AAS,ATR 72,Daily,JLR,22:10,,,27-Oct-19,28-Mar-20
56,9I 616,AAS,ATR 72,Daily,ATQ,22:35,,,27-Oct-19,28-Mar-20
57,9I 606,AAS,ATR 72,Daily,LKO,23:10,,,27-Oct-19,28-Mar-20
Dharamshala,,,,,,,,,,
1,9I 813,AAS,ATR 72,7,DEL,8:05,,,27-Oct-19,22-Mar-20
2,9I 814,AAS,ATR 72,7,,,DEL,8:30,27-Oct-19,22-Mar-20
3,9I 813,AAS,ATR 72,123456,IXC,8:45,,,28-Oct-19,28-Mar-20
4,9I 814,AAS,ATR 72,123456,,,IXC,9:10,28-Oct-19,28-Mar-20
5,9I 713,AAS,ATR 72,Daily,DEL,15:15,,,27-Oct-19,28-Mar-20
6,9I 714,AAS,ATR 72,Daily,,,DEL,15:40,27-Oct-19,28-Mar-20
Diu,,,,,,,,,,
1,9I 623,AAS,ATR 72,Daily,BOM,13:05,,,27-Oct-19,28-Mar-20
2,9I 624,AAS,ATR 72,Daily,,,BOM,13:30,27-Oct-19,28-Mar-20
Goa,,,,,,,,,,
1,9I 561,AAS,ATR 72,123457,PNQ,12:50,,,27-Oct-19,27-Mar-20
2,9I 562,AAS,ATR 72,123457,,,PNQ,13:20,27-Oct-19,27-Mar-20
Gorakhpur,,,,,,,,,,
1,9I 809,AAS,ATR 72,Daily,DEL,15:20,,,27-Oct-19,28-Mar-20
2,9I 810,AAS,ATR 72,Daily,,,DEL,15:45,27-Oct-19,28-Mar-20
Guwahati,,,,,,,,,,
1,9I 731,AAS,ATR 72,367,CCU,7:35,,,27-Oct-19,28-Mar-20
2,9I 733,AAS,ATR 72,1245,CCU,7:35,,,28-Oct-19,27-Mar-20
3,9I 731,AAS,ATR 72,367,,,TEZ,8:00,27-Oct-19,28-Mar-20
4,9I 733,AAS,ATR 72,1245,,,IXT,8:00,28-Oct-19,27-Mar-20
5,9I 732,AAS,ATR 72,367,TEZ,10:00,,,27-Oct-19,28-Mar-20
6,9I 732,AAS,ATR 72,367,,,CCU,10:40,27-Oct-19,28-Mar-20
7,9I 734,AAS,ATR 72,1245,IXT,11:10,,,28-Oct-19,27-Mar-20
8,9I 734,AAS,ATR 72,1245,,,CCU,11:30,28-Oct-19,27-Mar-20
Gwalior,,,,,,,,,,
1,9I 628,AAS,ATR 72,357,DEL,12:20,,,27-Oct-19,27-Mar-20
2,9I 628,AAS,ATR 72,357,,,IDR,12:50,27-Oct-19,27-Mar-20
3,9I 627,AAS,ATR 72,357,IDR,16:20,,,27-Oct-19,27-Mar-20
4,9I 627,AAS,ATR 72,357,,,DEL,16:50,27-Oct-19,27-Mar-20
Hubli,,,,,,,,,,
1,9I 879,AAS,ATR 72,Daily,HYD,21:30,,,27-Oct-19,28-Mar-20
2,9I 880,AAS,ATR 72,Daily,,,HYD,21:55,27-Oct-19,28-Mar-20
Hyderabad,,,,,,,,,,
1,9I 883,AAS,ATR 72,7,,,ISK,6:05,27-Oct-19,27-Oct-19
2,9I 871,AAS,ATR 72,12345,,,ISK,6:05,28-Oct-19,27-Mar-20
3,9I 883,AAS,ATR 72,6,,,ISK,6:05,2-Nov-19,28-Mar-20
4,9I 891,AAS,ATR 72,7,,,MYQ,6:30,27-Oct-19,27-Oct-19
5,9I 891,AAS,ATR 72,3,,,MYQ,6:30,30-Oct-19,25-Mar-20
6,9I 891,AAS,ATR 72,14567,,,MYQ,6:30,28-Oct-19,28-Mar-20
7,9I 883,AAS,ATR 72,7,,,ISK,8:05,3-Nov-19,22-Mar-20
8,9I 891,AAS,ATR 72,2,,,MYQ,8:15,29-Oct-19,24-Mar-20
9,9I 561,AAS,ATR 72,7,,,PNQ,9:30,27-Oct-19,27-Oct-19
10,9I 561,AAS,ATR 72,123457,,,PNQ,9:30,28-Oct-19,27-Mar-20
11,9I 875,AAS,ATR 72,7,,,KLH,9:40,27-Oct-19,27-Oct-19
12,9I 875,AAS,ATR 72,3,,,KLH,9:40,30-Oct-19,25-Mar-20
13,9I 875,AAS,ATR 72,14567,,,KLH,9:40,28-Oct-19,28-Mar-20
14,9I 875,AAS,ATR 72,2,,,KLH,11:35,29-Oct-19,24-Mar-20
15,9I 886,AAS,ATR 72,Daily,JGB,12:50,,,27-Oct-19,28-Mar-20
16,9I 884,AAS,ATR 72,6,ISK,13:00,,,2-Nov-19,28-Mar-20
17,9I 885,AAS,ATR 72,Daily,,,JGB,13:35,27-Oct-19,28-Mar-20
18,9I 884,AAS,ATR 72,7,ISK,14:45,,,27-Oct-19,22-Mar-20
19,9I 562,AAS,ATR 72,123457,PNQ,16:55,,,27-Oct-19,27-Mar-20
20,9I 876,AAS,ATR 72,134567,KLH,17:20,,,27-Oct-19,28-Mar-20
21,9I 538,AAS,ATR 72,123457,,,VGA,17:25,27-Oct-19,27-Mar-20
22,9I 538,AAS,ATR 72,6,,,VGA,17:30,2-Nov-19,28-Mar-20
23,9I 867,AAS,ATR 72,134567,,,PNQ,18:45,27-Oct-19,28-Mar-20
24,9I 876,AAS,ATR 72,2,KLH,19:15,,,29-Oct-19,24-Mar-20
25,9I 872,AAS,ATR 72,12345,ISK,19:30,,,28-Oct-19,27-Mar-20
26,9I 867,AAS,ATR 72,2,,,PNQ,19:40,29-Oct-19,24-Mar-20
27,9I 879,AAS,ATR 72,7,,,HBX,19:55,27-Oct-19,22-Mar-20
